article,count,pre_count,post_count,community,analyst_cluster,degree,weighted_degree,degree_centrality,betweenness_centrality,clustering_coefficient
368,1312,1,740,0,speech,38,1834,0.612903,0.078583,0.031012
130,925,6,609,0,extremist,47,1820,0.758065,0.021113,0.022536
369,1236,5,637,0,speech,31,1433,0.5,0.013481,0.036627
342,3788,20,1511,2,protest,47,1128,0.758065,0.156544,0.01679
361-1,425,0,269,3,extremist,39,1014,0.629032,0.017657,0.022993
361,314,0,205,3,other,35,899,0.564516,0.002732,0.025618
367,365,0,210,0,speech,24,828,0.387097,0.019143,0.042805
361-4,1049,0,437,3,extremist,37,738,0.596774,0.074326,0.020496
369-1,102,0,48,3,speech,23,382,0.370968,0.00301,0.028332
357,99,1,37,3,other,29,372,0.467742,0.015389,0.017421
364,269,7,191,2,other,25,311,0.403226,0.026982,0.016322
293,269,24,224,2,other,32,309,0.516129,0.091494,0.014672
370,245,1,124,0,speech,22,295,0.354839,0.00894,0.026462
361-2,172,0,103,3,extremist,20,278,0.322581,0.033157,0.028221
289,85,0,68,1,other,25,239,0.403226,0.016038,0.015049
391,110,1,66,0,other,14,236,0.225806,0.000344,0.037925
295,92,2,66,1,other,26,224,0.419355,0.00958,0.014261
366,66,0,49,0,other,20,219,0.322581,0.035028,0.021256
203-1,87,0,59,0,other,22,218,0.354839,0.037972,0.019176
356,147,0,108,1,other,31,210,0.5,0.159235,0.009269
411,84,7,70,2,other,26,179,0.419355,0.035907,0.013294
285,36,0,24,3,other,23,172,0.370968,0.00958,0.015913
339,175,1,118,2,other,22,162,0.354839,0.045584,0.013914
341,116,3,64,2,other,20,134,0.322581,0.003763,0.013883
290-4,29,0,20,1,other,21,127,0.33871,0.002997,0.014227
290-1,31,0,15,3,other,13,123,0.209677,0.0,0.031787
309,40,0,33,1,other,19,111,0.306452,0.015865,0.014556
295-3,26,0,20,1,other,24,101,0.387097,0.064318,0.0102
218,43,2,33,2,other,16,100,0.258065,0.006037,0.013646
289-1,8,0,0,3,other,12,85,0.193548,0.0,0.030088
352,25,0,22,2,other,17,73,0.274194,0.126037,0.004951
14,21,0,19,1,other,11,69,0.177419,0.00698,0.01545
290-5,18,0,8,3,other,13,67,0.209677,0.005866,0.016136
389,14,0,11,0,other,12,61,0.193548,0.00074,0.016162
130-1,22,0,6,0,extremist,9,50,0.145161,0.022871,0.025396
243,51,4,31,3,other,10,48,0.16129,0.011352,0.018037
359,11,0,10,1,other,12,44,0.193548,0.020941,0.01219
328,43,1,23,2,other,8,42,0.129032,0.029156,0.021388
179,26,0,23,0,other,9,39,0.145161,0.090406,0.017399
426,17,1,13,1,other,9,39,0.145161,0.017072,0.011484
333-1,15,0,11,1,other,8,37,0.129032,0.011634,0.011412
365,11,0,8,2,other,9,33,0.145161,0.018209,0.012172
191,20,4,9,3,other,6,29,0.096774,0.001322,0.025157
424,6,0,1,3,other,9,24,0.145161,0.035537,0.011067
363,49,1,36,2,other,5,23,0.080645,0.008526,0.017183
198,5,0,5,2,other,7,20,0.112903,0.003111,0.009017
290,6,0,6,1,other,7,19,0.112903,0.010855,0.009852
350,8,0,5,2,other,6,18,0.096774,0.007774,0.006362
406,12,0,5,1,other,3,18,0.048387,0.0,0.022564
354,5,0,5,2,other,4,13,0.064516,0.000441,0.008817
430,9,1,1,1,other,6,13,0.096774,0.054218,0.004278
209,17,1,8,2,other,1,9,0.016129,0.0,0
343,3,0,1,0,other,3,7,0.048387,0.002737,0.02759
349,2,0,2,2,other,3,6,0.048387,0.010773,0.005956
228,4,0,3,2,other,1,4,0.016129,0.0,0
292,4,3,1,2,other,1,4,0.016129,0.0,0
431,5,1,1,1,other,2,4,0.032258,0.0,0.004608
210,2,0,2,3,other,1,2,0.016129,0.0,0
235,3,1,1,1,other,1,2,0.016129,0.0,0
346,3,0,1,2,other,1,2,0.016129,0.0,0
371,7,0,7,2,other,1,2,0.016129,0.0,0
375,7,1,1,1,other,1,2,0.016129,0.0,0
435,3,1,2,2,other,1,2,0.016129,0.0,0
